Pod,Rank,Name_Clean,VP_Pile_1,VP_Pile_2,Total_VP,Win?,Total Rank Points,VP_Diff,Bystanders,Fun_Level,Win_Value,Win_Points,Turns_Value,Turns_Points,Turns_Rank,Escapes_Value,Escapes_Points,Escapes_Rank,PPT_Value,PPT_Points,PPT_Rank,Unique_Pod_ID,Pick 1,Pick 2,Attempt,Points Earned,Total Points,Cards Undercover
23,1,ItStartsWith1,42,25,67,1st,4,17,2,4/5,Yes,1.0,34,1,1st,0,1,1st,1.971,1,1st,Sp22_Pod_23,Iron Fist,Drax the Destroyer,,,,
24,1,FlipFlopManiac,52,34,86,1st,13.5,18,14,4/5,Yes,2.5,27,4,1st,0,3,1st,3.185,4,1st,Sp22_Pod_24,Domino,Forge,,,,
24,2,Barrit,44,54,98,1st,11.5,10,9,3/5,Yes,2.5,32,3,2nd,0,3,1st,3.063,3,2nd,Sp22_Pod_24,Domino,Forge,,,,
24,3,Montax30,73,20,93,1st,9.5,53,15,5/5,Yes,2.5,33,2,3rd,0,3,1st,2.818,2,3rd,Sp22_Pod_24,Scarlet Spider,Angel,,,,
24,4,bdst,64,43,107,1st,5.5,21,16,3/5,Yes,2.5,40,1,4th,1,1,4th,2.675,1,4th,Sp22_Pod_24,Domino,Forge,,,,
25,2.0,Avataristche,37,35,72,1st,11.5,2,2,3/5,Yes,2.5,28,3,2nd,0,3,1st,2.571,3,2nd,Sp22_Pod_25,Moon Knight,Punisher,,,,
25,3.0,SilverFirePrime,47,25,72,1st,9.5,22,3,3/5,Yes,2.5,29,2,3rd,0,3,1st,2.483,2,3rd,Sp22_Pod_25,Scarlet Spider,Symbiote Spider-Man,,,,
25,4.0,AntDude & WaspWoman,19,39,58,1st,5.5,20,3,4/5,Yes,2.5,30,1,4th,1,1,4th,1.933,1,4th,Sp22_Pod_25,Angel,Beta Ray Bill,,,,
26,1.0,Cerberin,16,54,70,1st,13.5,38,8,5/5,Yes,2.5,16,4,1st,0,3,1st,4.375,4,1st,Sp22_Pod_26,Thing,Nick Fury,,,,
26,2.0,Mr_Giraffe,44,16,60,1st,11.5,28,1,4/5,Yes,2.5,18,3,2nd,0,3,1st,3.333,3,2nd,Sp22_Pod_26,Captain America,Jessica Jones,,,,
26,4.0,Drewfusmcge,33,24,57,1st,5.5,9,2,3/5,Yes,2.5,32,1,4th,7,1,4th,1.781,1,4th,Sp22_Pod_26,Thing,Shatterstar,,,,
27,1.0,Wicked.pepper,35,45,80,1st,13,10,5,4/5,Yes,3.0,34,4,1st,2,4,1st,2.353,2,3rd,Sp22_Pod_27,Captain America (Falcon),Adam Warlock,,,,
27,2.0,Off the Cuff,64,33,97,1st,12.5,31,8,5/5,Yes,3.0,37,3,2nd,3,2.5,2nd,2.622,4,1st,Sp22_Pod_27,Captain America (Falcon),Wolverine (X-Men),,,,
27,3.0,TheDanInBlack,41,45,86,4th,7.5,4,4,3/5,No,1.0,35,1,4th,3,2.5,2nd,2.457,3,2nd,Sp22_Pod_27,Wolverine (X-Men),Medusa,,,,
27,4.0,Dre 2 point 0,43,45,88,1st,7,2,7,4/5,Yes,3.0,40,2,3rd,8,1,4th,2.2,1,4th,Sp22_Pod_27,Black Bolt (Inhumans),Medusa,,,,
28,1.0,Lamertien,15,70,85,1st,12,55,12,3/5,Yes,2.5,28,4,1st,0,2.5,1st,3.036,3,2nd,Sp22_Pod_28,Silk,Spider-Gwen,,,,
28,2.0,JParnell,53,54,107,1st,11.5,1,2,5/5,Yes,2.5,33,2.5,2nd,0,2.5,1st,3.242,4,1st,Sp22_Pod_28,Wolverine (X-Men),Soulsword Colossus,,,,
28,3.0,CrimsonY#5104,57,43,100,1st,9.5,14,3,5/5,Yes,2.5,33,2.5,2nd,0,2.5,1st,3.03,2,3rd,Sp22_Pod_28,Apocalyptic Kitty Pryde,Old Man Logan,,,,
28,4.0,MicroDisney0505,33,77,110,1st,7,44,3,2/5,Yes,2.5,38,1,4th,0,2.5,1st,2.895,1,4th,Sp22_Pod_28,Old Man Logan,Wolverine (X-Men),,,,
31,1.0,Mikeygill97,29,42,71,1st,13.5,13,7,5/5,Yes,2.5,24,4,1st,0,3,1st,2.958,4,1st,Sp22_Pod_31,Rogue,She-Hulk,,,,
31,2.0,Snash108,56,38,94,1st,9.5,18,27,5/5,Yes,2.5,33,1,4th,0,3,1st,2.848,3,2nd,Sp22_Pod_31,Gladiator Hulk,Mirage,,,,
31,3.0,Zer00verride,41,31,72,1st,9.5,10,10,4/5,Yes,2.5,27,3,2nd,0,3,1st,2.667,1,4th,Sp22_Pod_31,Mirage,Gladiator Hulk,,,,
31,4.0,Redblock,26,58,84,1st,7.5,32,18,4/5,Yes,2.5,30,2,3rd,1,1,4th,2.8,2,3rd,Sp22_Pod_31,Rocket Raccoon,Mirage,,,,
32,2.0,Organous#0462,50,12,62,1st,7,38,5,4/5,Yes,2.0,25,1,3rd,0,2,1st,2.48,2,2nd,Sp22_Pod_32,Skadi,Photon,,,,
32,3.0,iburnicus,36,12,48,1st,7,24,2,4/5,Yes,2.0,21,2,2nd,0,2,1st,2.286,1,3rd,Sp22_Pod_32,Darkhawk,Skadi,,,,
33,1.0,ClobberinTime & megablueJJ67,38,38,76,1st,9.5,0,8,3/5,Yes,2.0,29,3,1st,6,2.5,1st,2.621,2,2nd,Sp22_Pod_33,Groot,Stingray,,,,
33,2.0,FlipFlopManiac,39,64,103,1st,8.5,25,12,1/5,Yes,2.0,36,1,3rd,6,2.5,1st,2.861,3,1st,Sp22_Pod_33,Stingray,Deathlok,,,,
33,3.0,WrightHandMan65,37,33,70,1st,6,4,8,2/5,Yes,2.0,31,2,2nd,7,1,3rd,2.258,1,3rd,Sp22_Pod_33,Captain America,Hawkeye,,,,
34,1.0,Cerberin,50,21,71,1st,10.0,29,7.0,5/5,Yes,2.0,17,2.5,1st,0,2.5,1st,4.176,3,1st,Sp22_Pod_34,Captain America,"Captain America, Secret Avenger",,,,
34,3.0,Wicked.pepper,39,42,81,1st,5.0,3,11.0,4/5,Yes,2.0,26,1,3rd,1,1,3rd,3.115,1,3rd,Sp22_Pod_34,Tigra,Gladiator Hulk,,,,
35,1.0,R3DJ0N#6458,48,39,87,1st,10.5,9,8.0,3/5,Yes,2.5,24,3,1st,0,2,1st,3.625,3,1st,Sp22_Pod_35,Spider-Woman,Symbiote Spider-Man,,,,
35,2.0,Avataristche,82,18,100,1st,8.5,64,13.0,5/5,Yes,2.5,29,2,2nd,0,2,1st,3.448,2,2nd,Sp22_Pod_35,Storm,Heralds of Galactus,,,,
35,3.0,Off the Cuff,42,32,74,3rd,5.0,10,7.0,2/5,No,1.0,32,1,3rd,0,2,1st,2.313,1,3rd,Sp22_Pod_35,Spider-Woman,Rogue,,,,
36,4.0,Adrian Miller,64,20,84,1st,7.5,44,25.0,3/5,Yes,2.5,40,1,4th,0,3,1st,2.1,1,4th,Sp22_Pod_36,Thanos,Thor (Avengers),,,,
37,3.0,Ashyy,42,55,97,1st,11.5,13,10.0,3/5,Yes,3.0,33,3.5,2nd,0,3,1st,2.939,2,4th,Sp22_Pod_37,Wolverine (X-Men),Angel,,,,
37,4.0,FlipFlopManiac,54,51,105,1st,11.0,3,11.0,5/5,Yes,3.0,34,2,4th,0,3,1st,3.088,3,3rd,Sp22_Pod_37,Daredevil (Marvel Knights),Gambit,,,,
