Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,9,(+1),36,bigdilly73 & BlackSmithNJ,49,23,72,1st,Yes (5),6th,29 (3.5),9th,3 (1),6th,2.483 (4),13.5,,26,2,0,3,8,7,3,0,0,21,Marrow,Fantomex,Marrow,Fantomex,Second attempt,3,"Pretty fun setup, weapon X sequence seems like it could either make or break the game haha",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Wenwu, I've a feeling we're not in Kansas anymore.",1,(+9),44,ElongatedMan,70,7,77,1st,Yes (5),1st,25 (9),7th,5 (2.5),1st,3.08 (9),25.5,,63,21,0,3,6,4,4,1,0,18,Iceman,Jean Grey,Iceman,Jean Grey,Second attempt,4,"First time playing this scheme. First game it was tough, second game I managed the city a little better (after 5 escapes lol). First game my Iceman/Jean Grey side never really came together, but game 2 it produced several big turns, including one with 50+ attack and several mastermind hits. Thanks for a great tournament!",
,,2,(+8),42,Loconnole & Klcgolf,13,54,67,1st,Yes (5),2nd,30 (7.5),2nd,1 (6.5),4th,2.233 (6),25,,41,5,0,0,2,6,5,0,0,13,Domino,Mr. Fantastic,Domino,Mr. Fantastic,First attempt,5,"Exceptionally fun scheme and villains combo, loved having everything moving around. Mr fantastic and Domino were super fun in the mix too. Great job!",
,,3,(+7),41,PragmaticSquid,40,37,77,1st,Yes (5),5th,32 (4.5),2nd,1 (6.5),3rd,2.406 (7),23,,3,6,0,1,4,2,1,2,0,10,Darkhawk,Domino,Darkhawk,Domino,Second attempt,4,Challenging setup. Thought I'd use tech to prevent the tactic escape - but still had one get away,
,,4,(+6),41,WingedCrusader,31,37,68,1st,Yes (5),7th,33 (3),1st,0 (9),5th,2.061 (5),22,,6,6,0,1,2,5,3,0,0,11,Domino,Wolverine (X-Force),Domino,Wolverine (X-Force),First attempt,4,"the heroes were super fun! Domino is always a solid pick with all the flexibility, that deck was able to clear the city consistently and keep the escapes at 0, but the real scaler was the wolverine card draw deck getting 35 attack in one turn and hitting the mandarin 3 times in a row!  absolutely insane with commons consistently giving 4+ attack.",
,,5,(+5),39,Sylterix,48,38,86,1st,Yes (5),8th,34 (1.5),2nd,1 (6.5),2nd,2.529 (8),21,,10,16,0,1,4,1,2,1,0,9,Invisible Woman,Thing,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Good setup. Game went horribly slow because the Mandarins Rings didn't show up until turn 20. Decks went good with one having X-Force and teh other FF.,
,,6,(+4),37,ZombieGamer5,23,35,58,1st,Yes (5),4th,31 (6),6th,2 (4),7th,1.871 (3),18,,12,3,0,2,2,5,4,0,0,13,Wolverine (X-Force),Nightcrawler,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"I had the bad luck to start with several Predator X cards early on, which cloned themselves and made it easy for the scheme to cause escapes. The restriction of being only able to fight something in your space was interesting, as was the city pushing power of the tornado. I was not helped by 4 of the rings being near the bottom of the deck. 
Regardless, an entertaining game ",
,,7,(+3),38,SavageTeddyBear & Julius Xizor,25,37,62,1st,Yes (5),5th,32 (4.5),7th,5 (2.5),6th,1.938 (4),16,,12,7,0,1,1,3,5,1,0,11,Rictor,Thing,Rictor,Thing,Second attempt,3,There's no place like home. Except maybe when a tornado nearly sweeps through it.,
