Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,,5
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,,
,,4,(+7),32,KelgatesKollections,25,39,64,1st,Yes (4.5),3rd,24 (6),1st,0 (4.5),6th,2.667 (3),18,,14,2,0,2,4,6,4,1,0,17,Peter's Allies,Brainstorm,Peter's Allies,Brainstorm,First attempt,4,"Ironically enough, I haven't played a lot of Homecoming as of late as I ain't too fussy about the MCU art on the cards. However, since Toomes is only 5 attack early on. I wanted to try and beat him up as much as possible with Michelle's powerful ability of fighting the Mastermind with recruit. This allowed me to fight him twice in one go early on before he got out of hand. 

From there, it was just trying to clean up the ascended Masterminds to get the win at a respectively 24 turns. I'm not sure if Brainstorm was the right pick for the other hand, as I went with a tech and range synergy that felt like it was constantly going out of time but not sure if it technically did anything but durdle around too much haha. I suspect 24 is good, but could be a middle of the pack in terms of turn orders unless those Master Strikes come out early!",,,
,,5,(+6),30,Flipflopmaniac,24,55,79,1st,Yes (4.5),6th,28 (3),1st,0 (4.5),4th,2.821 (5),17,,31,0,0,1,4,3,2,2,0,12,"Peter Parker, Homecoming",White Wolf,"Peter Parker, Homecoming",White Wolf,First attempt,4,"I really liked this setup, the only thing that was a rough spot for me was facing the Giants again because of their type of disruption.  I tried to lean into the Danger Sense so that I wouldn't get overrun by Masterminds so Holland fit with Happy and Psi-Lord; Shuri and White Wolf paired up for Tech and Ambush triggers.  Turned out one side went almost full Instinct and Danger Sense'd to a clean city and smooth win, only hiccup was three quick Strikes near the beginning so I didn't get any cheap hits on Adrian.",,,
,,6,(+5),30,Gambit.n.rogue,23,33,56,1st,Yes (4.5),2nd,22 (7),1st,0 (4.5),8th,2.545 (1),17,,10,1,0,2,4,9,3,2,0,20,"Uatu, The Watcher",General Okoye,"Uatu, The Watcher",General Okoye,Second attempt,5,Lots of strategy involved when deciding when to fight the mastermind or get victory points. Happy Hogan was good and bad depending on when those master strikes came out! Fun!,,,
,,7,(+4),29,Cglied,36,57,93,1st,Yes (4.5),7th,34 (2),1st,0 (4.5),5th,2.735 (4),15,,21,4,0,0,4,1,1,1,0,7,King Black Panther,White Wolf,King Black Panther,White Wolf,Second attempt,4,"Usually if I play through a setup twice, I end up with two vastly different games. Not the case with this one. Both #1 and #2 were the almost the exact same. Same # of turns, within a few VP of each other, heck even the hands looked kind of identical. A bunch of early master strikes didn't too much to ding my hands too badly, but it made tougher to get the necessary attack to hit the mastermind, which added to my turn count for sure.",,,
,,8,(+3),28,Mikeygill97,50,49,99,1st,Yes (4.5),8th,38 (1),1st,0 (4.5),7th,2.605 (2),12,,1,4,0,0,1,1,0,0,0,2,Brainstorm,Peter's Allies,Brainstorm,Peter's Allies,First attempt,4,Good thing it wasn't Epic.,,,
,,9,(+2),27,AdamantiumGambit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,,10,(+1),25,ItStartsWith1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,The Daily Planet,1,(+10),37,Swagolas,32,76,108,1st,Yes (5.5),5th,29 (6),1st,0 (5.5),1st,3.724 (10),27,,44,2,8,0,2,1,4,0,0,7,Bruce Banner,Hulkbuster Iron Man,Bruce Banner,Hulkbuster Iron Man,First attempt,4,"Had to play my games pretty quickly on day 1 because I am going for a vacation for a week. I was pretty satisfied with my hero choices, they played pretty great together. I was a little worried that I won't be able to make use of the shield levels with just Mockingbird, but I got the rare and a few of her other cards and that seemed to be useful enough. Bruce's and Hulkbuster's 2 costs made me draw a bunch of extra cards. Also the scheme seemed to help more than hurt me with the villains with Last stand. My strategy was to fill up the city with weaker villains not to give a chance for the Last stand effects to get ouf of hand, that way I was able to defeat them without any problem really. When the city and the VD felt comfortable enough, I was able to defeat the weaker villains and henchmen in the city to make it empty and finish the MM. Fun game, can't wait to see the results of my pod mates!",,,
,,2,(+9),36,david-h11,30,65,95,1st,Yes (5.5),2nd,27 (9),1st,0 (5.5),4th,3.519 (7),27,,35,2,10,1,1,5,3,1,0,11,Deathlok,Hellcat,Deathlok,Hellcat,First attempt,4,"First game was fun, had an instinct deck that was really powerful by the end but the second game was one of the craziest I've ever played. So many turns with massive attack but not being able to hit the mastermind because of enemies in the city. Had to fight a 18 attack Headman Char because he turned up when I had two big victory piles. Also managed to have 4/5 rares on one team and it was right down to the final turn. A lot of fun but not as good as the first attempt haha. Skaar felt out of place, could have done more to work with him but the other heroes worked together surprisingly well",,,
