Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,You Know What It Is,1,(+10),23,snash108 & SBPKECN,41,6,47,1st,Yes (7),1st,13 (10),1st,0 (6),1st,3.615 (10),33,,35,2,3,8,14,5,1,0,31,"Blade, Daywalker",Star-Lord T'Challa,"Blade, Daywalker",Star-Lord T'Challa,Second attempt,5,"Brought Star Lord T'Challa to help activate Crystal's ranged common. Brought Blade, Daywalker primarily for his killer uncommon, since it provides both early KO, and knowledge for What If...?. Ended up picking up 3 copies of that uncommon very early(2 were in the starting HQ)!! Snash108 ended up with no deck or discard  and 20 attack. Hank even tried to mess him with a wound, but Captain Carter blocked it, and provided even more attack!! Couldn't have asked for better luck!!",,
,,2,(+9),22,JParnell,53,5,58,1st,Yes (7),2nd,17 (9),1st,0 (6),2nd,3.412 (9),31,,48,7,4,6,11,5,1,0,27,"Blade, Daywalker",Werewolf by Night,"Blade, Daywalker",Werewolf by Night,Second attempt,4,"Lost attempt 1 on turn 8, with 4 wagered souls in 8 turns. Won attempt 2 in 17 turns, winning every single wager. My two Hero picks of Blade and WWBN were the MVPs, shredding through one of my decks with Hunt High and Low and Snarling Fangs. I generated 16 attack on the last turn, had no 0-costs in my deck, an hit Pym 4 times in a row. Very legendary Legendary moment.",,
,,3,(+8),21,KelgatesKollections,18,42,60,1st,Yes (7),3rd,19 (8),1st,0 (6),3rd,3.158 (8),29,,24,4,3,8,8,5,1,0,25,The Vishanti,Werewolf by Night,The Vishanti,Werewolf by Night,Second attempt,4,"I'm a gambling man so I love blackjack. I just wish if I get a 21, the enemy Mastermind doesn't get a 21 as well. Ugh. However, I was able to get an early Thor rare which allowed me to basically get the rares onto one side and gather huge strength turns with the removal of my gray cards early on.

With this, I was basically able to cycle through my cards almost every turn to get the win. I just want to win a game of blackjack! JUST ONE!

I love the Scheme though, its everything I want in a unique scheme that plays itself out.

Thor Rare plus Elsa rare in one turn caught me 24-26 attack in one turn. Much love. ",,
,,4,(+7),20,jiggliestpuff,42,21,63,1st,Yes (7),6th,23 (5),1st,0 (6),4th,2.739 (7),25,,21,7,5,6,9,5,1,0,26,Apocalyptic Black Widow,Werewolf by Night,Apocalyptic Black Widow,Werewolf by Night,First attempt,3,"I ended up not really getting any Werewolf by Night cards, but Apocalyptic Black Widow's liberate was very helpful to deal with Pym. Party Thor and Clea helped thin the deck, too. Somehow I won every game of blackjack in game one...that was not the case in game two. I thought the villains, mastermind, and scheme played well together and made it sting lest when I discarded all the good heroes I recruited to at least hit Pym.",,
,,5,(+6),19,Loconnole & Klcgolf,24,36,60,1st,Yes (7),5th,22 (6),1st,0 (6),5th,2.727 (6),25,,12,3,1,5,9,5,2,0,22,Apocalyptic Black Widow,Werewolf by Night,Apocalyptic Black Widow,Werewolf by Night,First attempt,5,"We were on the brink of busting for a 4th time each round, which made it very exciting! Hero synergy was very interesting and Hank pym is super fun",,
,,6,(+5),18,ElongatedMan,15,38,53,1st,Yes (7),4th,21 (7),1st,0 (6),6th,2.524 (5),25,,23,1,3,5,8,7,1,0,24,Doctor Strange Supreme,"Gamora, Destroyer of Thanos",Doctor Strange Supreme,"Gamora, Destroyer of Thanos",Second attempt,4,"Never played this scheme before and I thought it was going to be bad, but it was actually kind of fun, despite being pretty much all luck.
My plan to KO all my starters failed both games, so instead I stuffed my decks with cards to water down the 0 costs and tried to get lots of card draw.
Getting a copy of The Shield of Britain in both games emboldened me to go after Pym even if I wasn't sure I had enough \\\",,
,,7,(+4),17,Babybreloom,52,19,71,1st,Yes (7),7th,30 (4),1st,0 (6),7th,2.367 (4),21,,33,7,2,1,7,4,0,0,14,"Gamora, Destroyer of Thanos","Uatu, The Watcher","Uatu, The Watcher","Gamora, Destroyer of Thanos",First attempt,2,"I really enjoy playing against Hank Pym, and the hero choices and the opportunity to play around with Demonic Bargain in the midst of Pym's antics created a lot of really cool dynamics. There's a bunch about this setup that really works and I loved! But It never feels good to know that the scheme is gonna do what the scheme is gonna do no matter what; that there's no real skill involved with simply surviving long enough to defeat the mastermind. Game 2 only took 15 turns to lose -_- 

With that said, Party Thor ended up working much better than I expected him too, and I was REALLY happy with my hero picks. When luck was on my side and I actually got to play, the decks I was able to build felt really good. ",,
,,8,(+3),16,hatephd & EditedMist99,41,8,49,8th,No (2),8th,22 (3),1st,0 (6),8th,2.227 (3),14,,33,10,4,3,8,6,1,0,22,Star-Lord T'Challa,Werewolf by Night,Star-Lord T'Challa,Werewolf by Night,First attempt,4,"Edited doesn't like this scheme, but I love it. We got wrecked by it both times though...On our second attempt I lost with a 21 and 20 for the first two twists... this week along with our first week placement will be the reason we don't make the cut. Oh well, can't say it hasn't been fun so far! By normal practices I wouldn't get to participate next week so I am happy with the new format.",,
,,9,(+2),15,Pyromagnus & Shoshielynn,18,14,32,8th,No (2),9th,19 (2),1st,0 (6),10th,1.684 (1),11,,4,3,3,4,10,6,2,0,25,Star-Lord T'Challa,"Uatu, The Watcher",Star-Lord T'Challa,"Uatu, The Watcher",Second attempt,3,This is my second and legal submission after the illegal mistakes I made in my first game,,
