Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
28,Swarm and Sorcery,1,(+10),25,zoratok,59,36,95,1st,Yes (5.5),3rd,29 (7.5),1st,0 (8.5),2nd,3.276 (9),30.5,,23,13,2,2,4,2,0,3,0,11,Luke Cage Noir,Siryn,Luke Cage Noir,Siryn,Second attempt,4,Chivalrous Duel really makes the game drag on. Ant Man was able to clone enough cards to finish off the mastermind. Fun game over all.,
,,2,(+9),23,david-h11,63,22,85,1st,Yes (5.5),2nd,28 (9),1st,0 (8.5),4th,3.036 (7),30,,41,11,6,2,3,5,2,1,0,13,Siryn,Ghost Rider 2099,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Had one covert deck work very well and got a lot of wasp out early with the sinister clones. Quite a lot of draw so didn’t feel the lack of KO power as much as I thought. The tech deck I went for took a while to get going and only hit mm once so maybe could’ve picked some better heroes for that side,
,,3,(+8),22,VenomousDisease,19,71,90,1st,Yes (5.5),3rd,29 (7.5),1st,0 (8.5),3rd,3.103 (8),29.5,,52,8,11,1,1,5,0,0,0,7,Ghost Rider 2099,Jocasta,Ghost Rider 2099,Jocasta,First attempt,3,"It was difficult getting enough attack to actually fight Morgan Le Fay as an Epic mastermind. We were lucky enough that one side has a really good Spiderman 2099 engine that really allowed them to go through their entire 23 card deck every time and have enough attack to fight the Mastermind with Spiderman 2099 attack.  Wasn't exactly fun to do, was a pain but we eventually got the win.",
,,4,(+7),22,FlipFlopManiac,19,72,91,1st,Yes (5.5),1st,27 (10),7th,3 (3),1st,3.37 (10),28.5,,53,10,29,1,1,7,4,2,0,15,Ghost Rider 2099,Doctor Doom 2099,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Early Clones led to Cyber-mod activators to setup for Doctor Doom and Ghost Rider's rares to duel Morgan.  The other hand tried to get Spider-Man and Wasp going but couldn't find red Cyber-mod cards.  The scheme flipped and accounted for the three escapes so I had to get the city under control, after that Ghost Rider's rare went brrrrrrrrrrrrrrrrrt.",
,,5,(+6),21,jpilger,45,40,85,1st,Yes (5.5),5th,30 (6),5th,1 (6),6th,2.833 (5),22.5,,5,13,2,2,1,5,0,3,0,11,M,Siryn,M,Siryn,Second attempt,4,Clone is really fun and M and Siryn  just dominated with the draw that was helped along by ant-man and wasps common cards.  The veiled schemes are also great mechanics.  I'd hope to see more of those in the future.,
,,6,(+5),19,evilspacecow & son,34,65,99,1st,Yes (5.5),8th,37 (2.5),1st,0 (8.5),8th,2.676 (3),19.5,,31,12,2,1,2,1,0,0,0,4,Angel Noir,Siryn,Angel Noir,Siryn,Second attempt,2,Neither of us enjoyed chivalrous duel and her being Epic with 9 health. I should have gotten a hero that could KO as it was it was hard to get 9 damage with one hero with all the cards. Dont know if I should have had another 2099 and focused on undercover or what but it took forever to build up a hand of damage.,
,,7,(+4),20,MrTince,51,40,91,1st,Yes (5.5),6th,33 (5),6th,2 (5),7th,2.758 (4),19.5,,11,16,2,1,5,2,0,2,0,10,Multiple Man,Siryn,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I didn't find out what the veiled scheme was...,
,,8,(+3),17,Travjon,66,39,105,1st,Yes (5.5),8th,37 (2.5),7th,3 (3),5th,2.838 (6),17,,27,14,6,0,1,0,0,2,0,3,Ghost Rider 2099,Siryn,Ghost Rider 2099,Siryn,Second attempt,1,I hate Chivalrous Duel. And Sinister Clones can screw right off.,
,,9,(+2),16,Lamertien,61,32,93,1st,Yes (5.5),7th,35 (4),7th,3 (3),9th,2.657 (2),14.5,,29,11,11,1,0,2,0,3,0,6,Luke Cage Noir,Doctor Doom 2099,Luke Cage Noir,Doctor Doom 2099,First attempt,4,"Finally a good challenge and an Epic Mastermind! I had a pretty nice build with Doctor Doom and Spider Man 2099 with my right and Luke Cage Noir and Ant-man with my left hand. Too bad, I got some Escapes, but the given Henchmen and cloned Heroes kept flooding the city. More challenges like this, please!",
,,10,(+1),16,Kharg,37,65,102,1st,Yes (5.5),10th,42 (1),10th,4 (1),10th,2.429 (1),8.5,,28,14,17,0,0,2,0,1,0,3,Doctor Doom 2099,Ghost Rider 2099,Doctor Doom 2099,Ghost Rider 2099,First attempt,3,Ant-Man's Giant Ego was far in the hero deck and wasn't able to make use of him. Ghost Rider rare was able to get 9 attack alone to attack the mastermind. Cloning villains caused the high amount of escaped villains.,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Go Green or Go to Hela,1,(+10),23,avataristche,47,14,61,1st,Yes (6.5),2nd,28 (9),1st,0 (9),1st,2.179 (10),34.5,,33,12,0,2,2,5,1,1,0,11,Star-Lord,Lady Sif,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,You get a wound! And you get a wound! And Hela gets a wound!,
,,2,(+9),21,Forever A Team & Son,37,15,52,1st,Yes (6.5),1st,27 (10),1st,0 (9),5th,1.926 (6),31.5,,22,8,0,1,0,7,3,1,0,12,Groot,Princess Shuri,Groot,Princess Shuri,First attempt,4,Another fun set up!,
,,3,(+8),21,Pyromagnus & Shoshielynn,24,36,60,1st,Yes (6.5),3rd,30 (8),4th,1 (6.5),2nd,2 (9),30,,12,11,0,1,2,1,3,1,0,8,Groot,Werewolf by Night,Groot,Valkyrie,First attempt,2,"Boring setup in our opinion because of the sheer amount of clogging that happens and the bevy of Ambush effects in play. It all feels very passive even though we were capable of making decent plays almost every turn. No real punishing or beneficial Hela Strike loops, only Okoye being able to play with wounds, Scheme making the game easier more often than not",
,,4,(+7),19,dontfeedthegreen,26,45,71,1st,Yes (6.5),6th,36 (4.5),1st,0 (9),3rd,1.972 (8),28,,19,21,0,0,0,3,0,0,0,3,Groot,Werewolf by Night,Groot,Werewolf by Night,Second attempt,3,"Nature fought back, but did struggle a bit, this set-up was a doozy! In the first attempt I managed to get a good number of Wound management cards and make good use of them, in the second I saw hardly any but got more Henchmen early on and Elsa and Wolfie did lots of hunting for Bystanders. 2nd attempt only took longer because a Fenris Ambush parked a Infinity Gem Villain with a Villainous Weapon and shards totalling up to 15 Attack on the Streets for me. Took forever to get enough Attack to clear it. Hela’s Tactic that pulls from the Villain deck also grabbed a hefty gem and cost me more turns. At least I never saw the Time Gem or the second Fenris! I was hoping to get lots of KOs from Snarling Fangs but that never really kicked off in either game. I got a lot more use out of Prune the Growths and Okoye’s dual-class common. Elsa’s cards were valuable in both games, triggering off of Gritty Scavenger on Instinct cards. Probably should have just used Star-Lord, but I was worried about escapes while getting him set up.",
,,5,(+6),20,Yeeches,49,12,61,1st,Yes (6.5),4th,31 (7),6th,2 (5),4th,1.968 (7),25.5,,37,9,2,1,3,2,2,1,0,9,Valkyrie,Lady Sif,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Went for lots of artifacts and KO to make a sweet Green Yellow Okoye deck to manage all the wounds well. Had some tough early escapes but the soul stone especially made winning easy. Fun!,
,,6,(+5),18,Drewfusmcge,37,23,60,1st,Yes (6.5),5th,34 (6),7th,6 (3.5),7th,1.765 (4),20,,14,9,0,0,0,2,1,1,0,4,Gamora,White Wolf,Star-Lord,White Wolf,First attempt,2,"Yikes this setup had a lot going on and I did not do well either time. Fenris wolf is the worst as usual lol. Actually had decent decks despite the wounds both games, but early escapes just screwed me up. A win is a win though! I'll take it",
,,7,(+4),17,M00M00KITTY & marnsupial,23,43,66,1st,Yes (6.5),8th,37 (3),7th,6 (3.5),6th,1.784 (5),18,,20,13,4,1,0,0,0,0,0,1,King Black Panther,White Wolf,I did not make a second attempt.,I did not make a second attempt.,First attempt,1,"I thought it was maybe a 3 * game, but marnsupial wanted to make it very well known that this was her least favorite set up of any tournament game we have ever played! Haha. She is salty because she had a really slow start to the game and didn't get the most victory points like she usually does. Even the best fall down sometimes! We won with only one card left in the villain deck, what a close one! Thanks for the setup, excited for week 4!",
,,8,(+3),16,Dashburn_,16,24,40,1st,Yes (6.5),6th,36 (4.5),9th,7 (2),9th,1.111 (2),15,,8,8,0,1,0,1,1,0,0,3,Star-Lord,Werewolf by Night,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Very fun setup between villain combination and scheme,
,,9,(+2),15,ItStartsWith1,27,26,53,9th,No (1.5),10th,38 (1),4th,1 (6.5),8th,1.395 (3),12,,1,6,1,0,0,0,0,0,0,0,"Blade, Daywalker",The Warriors Three,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"This game was a bit of a slog, but fun overall. I wasn’t particularly unhappy with my hero choices (even though the Warriors Three were notably absent vs Hela, haha), but I might’ve reconsidered a bit more wound KO or artifact matters. I did enjoy the puzzle of trying to finish off Hela on the last few turns while sliding enemies around the city, but just not enough firepower to finish the job. Needed a couple more turns.",
,,10,(+1),15,MicroDisney0505,7,3,10,9th,No (1.5),9th,39 (2),10th,16 (1),10th,0.256 (1),5.5,,4,0,0,0,0,0,0,0,0,0,Princess Shuri,Queen Storm of Wakanda,I did not make a second attempt.,I did not make a second attempt.,First attempt,1,N/A,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
