Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,,1
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
,,2,(+9),9,sethlikespizza,35,28,63,1st,Yes (5.5),5th,24 (6),1st,0 (10),2nd,2.625 (9),30.5,,7,5,2,3,5,5,0,0,15,Human Torch,Black Cat,Human Torch,Black Cat,First attempt,5,"Both attempts ended on turn 24. On the first game, literally everything that could've gone right, did. We played optimally and had a blast.",,
,,3,(+8),8,Ocs333,28,26,54,1st,Yes (5.5),2nd,21 (9),2nd,1 (8.5),4th,2.571 (7),30,,2,2,4,3,8,4,2,0,21,Invisible Woman,Silver Surfer,Invisible Woman,Silver Surfer,First attempt,4,"Had fun. I went with a build focusing on focus, and gaining recruit (good against Maggia goons, who really only showed up in last game, and also for buying the shards off mastermind). This way Scarlet Spider was in the way most of the time, clogging the HQ. With recruit spent on the above, and high cost cards of surfer and thing, ended up without really buying many cards. In submitted game, could control the city quite well, so even if strikes would come up (they did not) that would not be a problem. The one escaping villain from the mastermind tactic is hard to avoid, but maybe someone got lucky with that. I had to attempt again, as my initial two games were using more schemes than intended (which in first game led to a lot of shards available to buy in early game). The submitted game was fortunately fairly similar, with somewhat less turns, but also lower vp/turn on the other hand.",,
,,4,(+7),7,Flipflopmaniac,27,25,52,1st,Yes (5.5),4th,23 (7),4th,3 (6),5th,2.261 (6),24.5,,2,5,2,3,6,4,0,0,15,Daredevil (Marvel Knights),Spider-Woman,Daredevil (Marvel Knights),Spider-Woman,Second attempt,4,"Went with a topdecking strategy for both sides, left hand leaned more into spiders.  Rocket's artifact had plenty of opportunities to farm shards.  Goons was a great henchmen for this, allowing flexibility and KO since the heroes had none.",,
,,5,(+6),6,Zorotok,23,47,70,1st,Yes (5.5),6th,27 (4.5),4th,3 (6),3rd,2.593 (8),24,,24,7,3,1,5,4,0,0,13,Symbiote Spider-Man,Silver Surfer,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,Thing carried the team!,,
,,6,(+5),5,heyjudeboardgames,14,28,42,1st,Yes (5.5),3rd,22 (8),7th,4 (3.5),7th,1.909 (4),21,,14,0,2,3,5,5,2,0,17,Colossus,Human Torch,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,So many shards!! Epic way to use the shards by stealing them from the mastermind and using them in our favor! Colossus did work this game but so many wounds haha,,
,,7,(+4),4,Rey Plays Games!,23,38,61,1st,Yes (5.5),8th,29 (3),4th,3 (6),6th,2.103 (5),19.5,,15,2,0,2,4,5,0,0,11,Forge,Groot,Forge,Groot,Second attempt,5,It was amazingly fun! The setup made things exciting and challenging to choose two heroes...the scheme and chosen Mastermind and villains were very entertaining!,,
,,8,(+3),3,Minos_Griffin,34,16,50,1st,Yes (5.5),6th,27 (4.5),10th,8 (1),8th,1.852 (3),14,,18,6,1,1,4,3,0,0,9,Mr. Fantastic,Drax the Destroyer,Mr. Fantastic,Drax the Destroyer,First attempt,4,really fun but the scheme could be tricky if too many twists come one after one,,
,,9,(+2),2,david_h11,41,26,67,1st,Yes (5.5),9th,37 (2),7th,4 (3.5),9th,1.811 (2),13,,15,1,0,1,1,0,1,0,3,Blade,Thing,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Mole Man was harder than I remembered today haha. An unfortunate string of strikes when Subterranea villains were there and the wounds really started to slow me down, Bladewas the MVP with like 15 attack on his rare by the end :)",,
,,10,(+1),1,Joebro6616,23,36,59,1st,Yes (5.5),10th,40 (1),9th,5 (2),10th,1.475 (1),9.5,,13,2,3,2,12,4,2,0,23,Mr. Fantastic,Symbiote Spider-Man,Professor X,Nightcrawler,First attempt,4,"I wish I would have read the entire scheme, didn’t see that I could take shards off of the mastermind, I will play this setup with my game group",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Killmonger's Soul Stone Gambit,1,(+11),11,JustHarold,49,40,89,1st,Yes (6),4th,29 (8),1st,0 (10.5),1st,3.069 (11),35.5,,9,4,1,3,2,2,2,0,10,Deathlok,White Wolf,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,too much shield level haha,,
,,2,(+10),10,Organous,27,41,68,1st,Yes (6),3rd,28 (9),5th,2 (6),4th,2.429 (8),29,,14,8,2,4,4,0,1,0,11,Quake,Stepford Cuckoos,Quake,Stepford Cuckoos,Second attempt,3,"Phil Coulson didn't really do much here, even with Quake to back him up. This was very much determined by M.",,
