Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,6
,,5,(+6),37,dontfeedthegreen,43,34,77,1st,Yes (5),6th,31 (3.5),8th,2 (2),2nd,2.484 (8),18.5,,9,6,15,0,2,6,0,2,0,10,Star-Lord,Lady Sif,Drax the Destroyer,Mockingbird,Second attempt,3,"First game I tried Artifact shenanigans with Star-Lord and Lady Sif, but got stymied by an HQ full of high cost cards and lost fairly quickly. Game 2 I went for the more reliable choice of Drax and Mockingbird and they managed it fairly well, though not as quickly as I could have if I hadn’t consistently drawn Avatar of Destruction in hands full of Recruit. Oh well.",,
,,6,(+5),36,gscrap,58,13,71,1st,Yes (5),5th,29 (5),9th,3 (1),3rd,2.448 (7),18,,45,1,17,1,3,6,1,0,0,11,Mockingbird,Quake,Mockingbird,Quake,First attempt,5,"Very happy with this setup.  It was challenging but not oppressive, and gave a lot of room for strategic decision-making.  The setup I submitted started poorly, with expensive cards in the HQ and big villains in the City, and I allowed three escapes before I managed to defeat so much as a Henchman... however, once it started rolling, it really rolled and in the end I'm pretty pleased with how the deck performed (even though I'm sure my escapes will put me low in the rankings this week).",,
,,7,(+4),34,Flipflopmaniac,16,39,55,1st,Yes (5),3rd,27 (7),5th,1 (4),8th,2.037 (2),18,,23,4,3,3,2,6,2,0,0,13,Groot,Star-Lord,Groot,"Ancient One, The",First attempt,3,"Rough setup, had a time with all the gems re-entering the city but at least the henchmen was showing up and giving me free KOs.  Dormammu managed to hamper me late in the game and lost a couple turns.  Chose Star-Lord to lean hard into artifacts and Groot is always good and paired with Rocket.  MCU side got Star-lord's rare so I sold out and recruited every artifact and gem I saw.  Combined with his Legendary Outlaw there was plenty of shards to bargain with.",,
,,8,(+3),33,Chapmaca7,26,47,73,1st,Yes (5),9th,34 (1),1st,0 (7.5),6th,2.147 (4),17.5,,21,4,12,0,1,5,0,1,0,7,Agent Phil Coulson,Star-Lord,Agent Phil Coulson,Star-Lord,Second attempt,4,Fun game but took a while to get enough attack built up. Enjoyed some of these heroes as they are fairly new to me.,,
,,9,(+2),32,jdub,34,29,63,1st,Yes (5),8th,32 (2),5th,1 (4),9th,1.969 (1),12,,5,4,3,4,2,3,0,0,0,9,Thor (Heroes of Asgard),Groot,Groot,Gamora,Second attempt,4,I don't want to make any more bargains. Overall I enjoyed the game. Gamora made a real difference in the second game I played. My first game I tried to split the heroes I chose to have some that were worthy and some guardians of the galaxy but that spread my options to thin. Second game I just focused on Guardians and it made a huge difference.,,
,,10,(+1),33,Grey Warden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Negative Effects,1,(+10),46,david-h11,40,69,109,1st,Yes (6),3rd,27 (8),1st,0 (6),2nd,4.037 (9),29,,29,12,0,0,4,6,2,2,0,14,Mr. Fantastic,Thing,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"The heroes split into two clear decks, one with strength cards and one with instinct. Right hand had 4 drax artifacts giving consistent +4 attack and 3 rares, even having a turn where I had to waste 23 attack because enemies could only be fought with recruit. The other deck was pretty strong as well though, mostly instinct cards which could be all drawn with moon knights 5 cost. Overall very fun game where the decks just worked well!",,
,,2,(+9),44,Ocs333,33,70,103,1st,Yes (6),2nd,26 (9),1st,0 (6),3rd,3.962 (8),29,,37,7,0,0,5,6,2,0,0,13,Domino,Forge,Domino,Forge,First attempt,5,"Mysterio is rewarding mastermind in the sense that when you get to 20+ attack turns you can spend eventually spend that properly (without ending the game early). So it was fun. 
In both game left hand went mostly yellow and green, right hand full black. Now the first game was quite lucky as I spent most of it in normal mode and maybe two turns in negative zone mode. Also all 5 master strikes came up, so could get a high VP. The second game on the other hand was mostly spent in negative zone mode. Just before getting high cost cards scheme 4 arrived so for many rounds I could not even recruit anymore. But by that time I already had some good cards to chip away mysterio with recruit and manage the city. In the end the game ended on same turn, but as only 3 master strikes came up, VP was lower. 
Black hand relied on versatile cards left hand on having a balanced number of recruit and attack cards. ",,
,,3,(+8),42,Pokeloly,75,46,121,1st,Yes (6),5th,29 (5),1st,0 (6),1st,4.172 (10),27,,29,13,0,0,5,2,5,0,0,12,Wolverine (X-Force),Domino,Mr. Fantastic,Domino,First attempt,4,"Both games had one side stall for several turns because I built either too much recruit or too much attack. Domino was a good choice I think, but in hindsight I should've have chosen a focus hero for my second pick.",,
