Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,"Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)",Attempt Submitted,,Fun Level,Comments
,,4,Jerzin,45,48,93,1st,Yes (5),5th,32 (4.5),1st,0 (5),5th,2.906 (4.5),19,,3,5,Punisher,Angel,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"Really KOed deck, when Player two using Light the Way and discarding card to boost the attack and kill henchmen and MM. Player one using Punisher and BW to kill the Deadpool's friend. Funny setup, but with all the KOing you never know when the top card of your deck will be non grey card. Fun setup!"
,,5,snash108 & SBPKECN,43,50,93,1st,Yes (5),5th,32 (4.5),1st,0 (5),5th,2.906 (4.5),19,,7,7,Falcon & Winter Soldier,White Tiger,Falcon & Winter Soldier,White Tiger,Second attempt,4,4/5,"SBPKECN managed to pull off an infinite with a six card deck, after attacking a Weasel in the city, grabbing Photon's uncommon from me, and using a dodge ability! That was what I was aiming for, but she was super proud to pull that off. Especially after losing the copy she purchased to a sniper rifle assassin 5 turns prior!"
,,6,Techfiend,33,32,65,1st,Yes (5),3rd,26 (7),1st,0 (5),8th,2.5 (2),19,,1,3,Darkhawk,Falcon & Winter Soldier,Darkhawk,Falcon & Winter Soldier,Second attempt,4,4/5,"Hyperspeed and Dark Memories worked well together with the double cards from Falcon and Winter Soldier on the left side. Right side went BW/Photon and used Dodge to drive Photon's Light the Way for big hits. Never played this scheme before, but it sucked. Burned 5 non-grey heroes on 3 twists, didn't see enough grey heroes there."
,,7,Avataristche,75,27,102,1st,Yes (5),7th,33 (2.5),1st,0 (5),4th,3.091 (6),18.5,,48,9,"Captain Marvel, Agent of SHIELD",Angel,"Captain Marvel, Agent of SHIELD",Angel,First attempt,3,3/5,The plan kinda worked?
,,8,orbrover,54,37,91,1st,Yes (5),7th,33 (2.5),1st,0 (5),7th,2.758 (3),15.5,,17,10,Slapstick,Solo,Slapstick,Solo,First attempt,4,4/5,"Quit sniping my rares, Macho! lol"
,,9,Pervavita & CatSwiftie,51,27,78,1st,Yes (5),9th,34 (1),1st,0 (5),9th,2.294 (1),12,,24,4,Quicksilver,Falcon & Winter Soldier,Quicksilver,Falcon & Winter Soldier,First attempt,3,3/5,Had fun. Thanks for setting this up
,,-,Adrian Miller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
7,Mysterio Breaks the Planet Asunder,1,JustHarold,32,50,82,1st,Yes (6),2nd,25 (8),1st,0 (8.5),3rd,3.28 (7),29.5,,18,7,Phyla-Vell,Nova (Avengers),I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,pretty easy. hit 3 master strikes super early sadly
,,2,Ashyy,67,19,86,1st,Yes (6),3rd,26 (7),3rd,1 (6),2nd,3.308 (8),27,,48,6,Doctor Voodoo,The Ancient One,Doctor Voodoo,The Ancient One,Second attempt,3,3/5,There’s some pretty good combos with scarlet spider and an x student sidekick.. Iykyk 🤷🏽‍♂️
,,3,Jinjoz,52,32,84,1st,Yes (6),4th,27 (6),1st,0 (8.5),4th,3.111 (6),26.5,,20,6,Gladiator Hulk,Phyla-Vell,Gladiator Hulk,Phyla-Vell,Second attempt,3,3/5,"Solid gameplay, I really love the flavor of mysterio but gall he just won't die! Happy with the heroes I chose, used the same ones for both games. Deck 1 was all about using the Smash Mechanic and getting big numbers. Deck deck was all about gaining shards and burning them for benefit. The hero decks were fun but the villain deck felt a bit too mish mashed and not much of a challenge."
,,4,Captain Cardone & Paisley5002,67,31,98,1st,Yes (6),5th,29 (5),3rd,1 (6),1st,3.379 (9),26,,36,6,Spider-Woman,Phyla-Vell,Spider-Woman,Phyla-Vell,Second attempt,3,3/5,The RNG of twists was make or break for this setup. Our first game we got slaughtered due to 3 scheme twists in the first 7 turns. Seems like a better scheme for bigger villain decks. Still fun though.
,,5,Silverfox & Blushingether,35,27,62,1st,Yes (6),1st,20 (9),3rd,1 (6),5th,3.1 (5),26,,8,6,Captain Mar-Vell,Hulkbuster Iron Man,Captain Mar-Vell,Hulkbuster Iron Man,First attempt,4,4/5,Actually surprised with how the hero’s worked together even with 7 of them.
,,6,Acituanbus,45,51,96,1st,Yes (6),7th,35 (3),6th,2 (3.5),6th,2.743 (4),16.5,,6,6,Phyla-Vell,The Vishanti,Phyla-Vell,The Vishanti,Second attempt,3,3/5,We rank it pi out of 5
,,7,Frank7666,34,37,71,1st,Yes (6),6th,34 (4),9th,15 (1),9th,2.088 (1),12,,3,3,Moon Knight,Symbiote Spider-Man,Moon Knight,Symbiote Spider-Man,First attempt,5,5/5,Have to hit Mysterio quick.
,,8,Bmcaleer,55,41,96,8th,No (1.5),8th,37 (2),8th,3 (2),7th,2.595 (3),8.5,,14,8,Moon Knight,Spider-Woman,Moon Knight,Spider-Woman,Second attempt,5,5/5,I had good synergy from the first run and thought I could get it complete the second time around. I spent to much time clearing the city instead of focusing on knocking down mysterio. I wish I had a couple more of the quasar ko cards or moon knight ones.
