Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
7,Mephisto's S.H.I.E.L.D. vs. Hydra War,1,ANewEmpire,62,28,90,1st,Yes (5),4th,29 (5),1st,0 (7.5),2nd,3.103 (7),24.5,,34,1,Phyla-Vell,Mockingbird,4/5,"Both games I played went well. Hand 1 mainly used Mockingbird and Wolverine to keep deck size as small as possible and get SHIELD level high (ended at 28). Hand 2 focused on clearing the city and using Phyla-Vell and Angel to gain shards and cycle through deck quickly. 

I apoligize again for messing up the first time, but more Legendary is always fun! "
,,2,Ceej,36,20,56,1st,Yes (5),1st,22 (8),3rd,1 (6),6th,2.545 (3),22,,16,0,Elektra,Iron Fist,4/5,"Pretty easy to not lose if you're paying attention, so I guess it comes down to speed"
,,3,dontfeedthegreen,28,59,87,1st,Yes (5),5th,30 (4),1st,0 (7.5),4th,2.9 (5),21.5,,31,3,Elektra,Mockingbird,4/5,Hypersonic Scream + Reckless Abandon for the win!!!
,,4,ChuckBauer,47,22,69,1st,Yes (5),2nd,26 (7),4th,2 (5),5th,2.654 (4),21,,25,3,Domino,Proxima Midnight,5/5,"Took Proxima to give Black Bolt more text less cards to work with. Domino tagged along, as her X Force affiliation, made her pair well with Wolverine, her cards with both attack and recruit would fuel Proxima, and she was in able to make use of Angel's discard shenanigans!"
,,5,Yeeches,92,10,102,1st,Yes (5),6th,31 (3),5th,3 (4),1st,3.29 (8),20,,82,2,Punisher,Deathlok,5/5,"Punisher and Deathlok had some legendary deck thinning going on! Wolvie and Angel really struggled to get a draw/discard thing going in my 2nd game. I had so many wounds without a MK hero on one side, that'll probably be my downfall with turn count."
,,6,kata124,56,27,83,1st,Yes (5),3rd,27 (6),6th,4 (3),3rd,3.074 (6),20,,29,7,Iceman,Magik,4/5,"This setup felt like the right amount of difficulty and was a lot of fun. I thought I could just ignore wounds but that was a big mistake. In hindsight, I would have selected a hero that benefits from wounds or a Marvel Knight instead of Magik. Magik was good for triggering Iceman and getting Sidekick draw for Wolverine but she wasn't necessary."
,,7,BuddhaRock,54,27,81,1st,Yes (5),7th,37 (2),8th,6 (1),7th,2.189 (2),10,,27,2,Elektra,Magik,3/5,"Interesting game. I decided to focus on the drawing engine, so I added Magik to get access to more Sidekicks and Elektra as the MK hero to offset Mephisto's Master Strike since she had a bit of drawing power. Unfortunately, there wasn't a lot of deck thinning ability, so I think I only got rid of 1 starter card for the entirety of the game. That definitely prolonged the game and my ability to create bigger hands. In hindsight, I feel like maybe I should've chosen The Punisher as my MK hero for his deck thinning abilities but alas. The shards from the UCoT helped a lot. It took a while, but I was finally able to build a big hand on the last turn using Wolverine's Reckless Abandon card which resulted in drawing 12 cards for the entire hand and building up to 25 attack.

Game was tough as it felt like a war of attrition, but I got there in the end I got there. It did feel fairly on brand as Mephisto is a sower of discord, so seeing him be the puppet master of a S.H.I.E.L.D vs. Hydra war makes sense. Not sure I'd want to play this scenario again, but it was a good, tough first round setup."
,,8,mattl00k,23,12,35,8th,No (1),8th,30 (1),7th,5 (2),8th,1.167 (1),5,,11,2,Forge,Nova (Avengers),4/5,Hard…
,,-,alextuesday,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
,,-,jfwg4766Can,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
8,Kang Floods the Planet with Melted Glaciers,1,Kyler & Talon,16,45,61,1st,Yes (5),2nd,22 (8),1st,0 (5),3rd,2.773 (7),25,,29,12,Black Widow (Avengers),Invisible Woman,4/5,"My brother went for Black Widow, Invisible women immediately and killed alot of Doombot Legions allowing him to clear out the base boys. So he racked up enough bystanders to hit Kang twice before he even got his second time incursion. 2 scheme twists came out immediately so we thought we were in trouble but it worked out in the end."
,,2,EnigmaDrake,4,48,52,1st,Yes (5),1st,20 (9),1st,0 (5),5th,2.6 (5),24,,44,1,Mr. Fantastic,Storm,3/5,"I wouldn't say there was anything super special about this setup, second run had more even point distribution, but also several additional turns taken. Still not sure what here combos well with gambit and wolverine, storm was a bit of a disappointment."
,,3,Spark001,32,40,72,1st,Yes (5),5th,25 (5),1st,0 (5),2nd,2.88 (8),23,,8,5,Brainstorm,Fantastic Four United,4/5,"Tense at first, however got lucky with  the Skrulls nabbing the ultra rare cards so close together."
,,4,Adrian Miller,53,24,77,1st,Yes (5),6th,26 (3.5),1st,0 (5),1st,2.962 (9),22.5,,29,8,Psi-Lord,Silver Surfer,5/5,"I am Annie's,d out..."
,,5,Jalt08 & KatieAlt,44,24,68,1st,Yes (5),6th,26 (3.5),1st,0 (5),4th,2.615 (6),19.5,,20,1,Human Torch,Psi-Lord,4/5,Finally got to put Psi-Lord to the test and his ability to manage the villain deck was a game changer.
,,6,Astigmatic_Oracle,38,19,57,1st,Yes (5),4th,24 (6),1st,0 (5),7th,2.375 (2.5),18.5,,19,1,Mr. Fantastic,Brainstorm,5/5,This one was really fun! I always love a chance to use FF cards.
,,7,AntDude & WaspWoman,25,20,45,1st,Yes (5),3rd,23 (7),1st,0 (5),9th,1.957 (1),18,,5,2,Mr. Fantastic,Brainstorm,5/5,"Welp, we feel great about the one game we played! The fact that a lot of our scheme twists came out early helped clear some mediocre cards from the HQ and unearthed some rares. WaspWoman went big with a tech deck of Stark and the Richards gang with a side of Iron Lad, and AntDude managed to scrape together enough attack with Gambit and Wolvie to feel like he was contributing. Fun set up and I credit WaspWoman’s interest in geology as a factor that help us handle the melting glaciers."
,,8,lasombra81,38,43,81,1st,Yes (5),9th,33 (1),1st,0 (5),6th,2.455 (4),15,,5,2,Fantastic Four United,Mr. Fantastic,4/5,Second run got lucky with 4 twists on the bottom of the VD.
,,9,Agrajag,41,35,76,1st,Yes (5),8th,32 (2),1st,0 (5),7th,2.375 (2.5),14.5,,6,11,Heralds of Galactus,Fantastic Four United,5/5,Got Very Lucky (Legendary) First 3 Scheme Twists whiffed - 0 Heroes KO'ed
