Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,6,(+5),11,SilverFirePrime,15,33,48,1st,Yes (6.5),5th,31 (6),9th,3 (2),7th,1.548 (4),18.5,,18,4,1,6,3,0,1,0,11,Star-Lord,Drax the Destroyer,Star-Lord,Drax the Destroyer,Second attempt,2,"Normally this scheme isnt too bad multiplayer.  Swingy, but manageable  This scheme with the Mandarion ,two villain groups used here and buffed henchmen? Borderline unfair as twists 4,6,and 8 are extremely difficult to fulfil here.",,
,,7,(+4),10,Narellish & ooskarr,22,32,54,1st,Yes (6.5),7th,34 (4),10th,4 (1),5th,1.588 (6),17.5,,10,4,0,3,2,2,0,0,7,Groot,Star-Lord,Groot,Star-Lord,Second attempt,5,"Lots of fun, but wow tough. Our first set up had 7 schemes and 1 masterstrike out in the first 9 turns. And we shuffle it so well, but must have shuffled them back together. Thank again.",,
,,8,(+3),9,GamerGump,21,34,55,1st,Yes (6.5),8th,37 (3),8th,2 (3),8th,1.486 (3),15.5,,13,4,0,2,3,0,0,0,5,Hellcat,Spider-Woman,Groot,Drax the Destroyer,Second attempt,3,"The gems made the ""defeat something in the city worth 3vp or more"" so difficult. Other than that it was a good challenging game.",,
,,9,(+2),9,CK,23,17,40,9th,No (1.5),9th,36 (2),1st,0 (9),10th,1.111 (1),13.5,,6,11,1,2,3,1,0,0,7,Groot,Fantastic Four United,Groot,Fantastic Four United,First attempt,3,I got destroyed by the scheme twist challenges.,,
,,10,(+1),7,sword'n'sorcery,23,16,39,9th,No (1.5),10th,28 (1),4th,1 (5.5),9th,1.393 (2),10,,7,4,3,3,3,1,0,0,10,Scarlet Witch,Gamora,Scarlet Witch,Gamora,First attempt,1,"This setup was punishingly difficult. Villain Groups and Henchmen had relatively high attack and low KO power. My go-to picks for KO power heroes were unavailable, so I just couldn't refine my decks. Super-Skrull and Ronin both have no cards granting Recruit points, so most turns my best choice for recruit was just more officers.
Lethal Legion + Infinity Gems were really unfortunate with this scheme. I lost twists 4, 6, and 8 just because all villains in the city were Gems (no VIP) or Locations (not technically villains). There was probably some bad luck here, but honestly I disliked this setup so much that I don't want to try again.",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Captive Audience,1,(+10),16,Avataristche,63,22,85,1st,Yes (6),3rd,27 (7),1st,0 (6),1st,3.148 (9),28,,41,19,0,4,8,2,0,0,14,Nightcrawler,King Black Panther,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"Unfortunate early bystander kos forced me to play slowly, but it still went nice enough not to replay i think",,
,,2,(+9),14,Mangostrike,39,31,70,1st,Yes (6),2nd,24 (8),1st,0 (6),2nd,2.917 (8),28,,8,17,2,4,8,3,0,0,17,Jean Grey,Professor X,Jean Grey,Professor X,First attempt,4,Fun mastermind I haven’t played before. Tried on my second game to only save bystanders on one side to limit how many get KO’d by twists. Should have gone with Wolverine for the instinct to stop the twist and handle the wounds. Maybe pair with Hulk for synergy.,,
,,3,(+8),13,ceejatec,25,39,64,1st,Yes (6),1st,23 (9),1st,0 (6),3rd,2.783 (7),28,,14,12,3,5,7,3,0,0,18,General Okoye,Wolverine (X-Force),General Okoye,Gwenpool,Second attempt,5,"I wanted Instinct cards to protect against Scheme Twists, and after some waffling, ended up with General Okoye and Wolverine (X-Force) the first game. That gave the deck a pretty even distribution of colors, which minimized the amount of Empowering going on. The first game went fine but kind of slow (normal for me), but I recognized the power of Cheering Crowds to use all those Bystanders which could also keep Twists from ending the game. So the second game, I subbed out Wolverine for Gwenpool - similar amount of Instinct, more Cheering Crowds. And I think it worked! Second game was one of the fastest games I've played, and Player 1 ended up going Ranged-heavy with Cable's ""Strike at the Heart of Evil"" (love that card!) and Nova's ""Interstellar Hero"" (cheering crowds!) with almost no Instinct at all - since he was throwing back all his Bystanders to Cheering Crowds, he didn't really need to protect his Victory Pile from Scheme Twists. Player two got good mileage from General Okoye's ""Lead the Dora Milaje"" to burn Wounds and get lots of damage. I did get a pretty lucky Villain draw with a lot of early Henchmen and other Fight effects to KO my heroes - player two had basically no Starter Heroes left by the end of the game, which led to lots of combos. Best turn was something like 22 damage, hitting Klaw once, killing another Villain, and then electing not to take the Final Blow and instead hitting Klaw's ""Cohesive Sound Construct"" in the city again to rescue 5 more bystanders since player 1 was going to be able to finish things off with Cable.",,
,,4,(+7),13,Babybreloom,50,41,91,1st,Yes (6),6th,33 (4),1st,0 (6),4th,2.758 (6),22,,9,17,1,2,4,1,0,0,8,Gwenpool,Wolverine (X-Force),Gwenpool,Wolverine (X-Force),First attempt,5,"I really loved this setup, and forgot how much I loved playing with Champions! Definitely going to request this set more often.",,
,,5,(+6),11,Canis & MamaBird,47,20,67,1st,Yes (6),4th,29 (5.5),1st,0 (6),6th,2.31 (4),21.5,,27,2,2,0,6,3,1,0,12,Forge,Viv Vision,Forge,Viv Vision,First attempt,4,"forge come out heavy early, so I was able to build a really strong tech tech, with some Shuri and Cable.",,
,,6,(+5),10,Kb_driven,33,31,64,1st,Yes (6),4th,29 (5.5),1st,0 (6),7th,2.207 (3),20.5,,2,5,0,2,6,2,2,0,12,Domino,Forge,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"This was great!  I was worried early as I didn't pay attention to the fact that bystanders in my Victory pile can still be KO'd.  But I was able to get Nova's cheering crowds in play on both sides, along with Domino's Instinct to keep the losses to a minimum.  It's always fun to pull off Forge's BFG and I managed it once here, taking out Klaw twice in one turn.  Shuri's common empowered by Tech became a star card with all the tech cards in the HQ.  I thought her Shock Net might play a bigger role in keeping Bystanders out of the HQ, but it was a non-factor.",,
,,7,(+4),10,Bronson & Lighthouse,49,57,106,1st,Yes (6),7th,40 (3),1st,0 (6),5th,2.65 (5),20,,8,20,0,1,0,0,0,0,1,Nightcrawler,Gwenpool,Nightcrawler,Gwenpool,Second attempt,3,Plan was to get as many yellow cards as possible to stave off Scheme twists but just didn't get them in either shuffle. Ended up just limiting buys to keep HQ static often. Creative setup.,,
,,8,(+3),8,Astigmatic_Oracle,24,30,54,8th,No (1.5),9th,26 (1),8th,1 (1.5),8th,2.077 (2),6,,6,8,2,5,5,2,1,0,15,Domino,Iceman,Domino,Iceman,Second attempt,3,"Not a great strategy on my part. Tried to blitz it, should have added a bunch of instinct instead",,
,,9,(+2),8,Tuba2k7 & Aliayc22,28,25,53,8th,No (1.5),8th,34 (2),8th,1 (1.5),9th,1.559 (1),6,,3,1,1,2,1,2,0,0,6,Wolverine (X-Force),Nightcrawler,Wolverine (X-Force),Nightcrawler,Second attempt,5,"Really a fun scenario it’ll get you quick if you are not careful or if you are unlucky three bystanders going out at the first of the game is a very unfortunate way to start. I loved the constant strategizing that was required for it. I have never played with cable before and I really like that character, I truly hate Carrion right now as he feasted on strike at the heart of evil both times I got the card before I could use it. Next time I just won’t kill him. Also, my wife is in a tourniquet because of all the wounds she received. I am lucky she didn’t bleed out.",,
,,10,(+1),6,heyjudeboardgames,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tony Stark Tries to Park,1,(+10),14,mrdollar11 & TheSquishyFish,33,43,76,1st,Yes (6.5),1st,25 (9),1st,0 (7.5),1st,3.04 (9),32,,10,2,2,3,5,6,0,0,16,Beast (Illuminati),"Captain and the Devil, The",Beast (Illuminati),"Captain and the Devil, The",Second attempt,4,"Both games were surprisingly easy, but second game we got Namor to trigger and also 12 attack on one turn, and the other hand got doctor of beatdown and plenty of tech and strength.",,
,,2,(+9),14,coldvein & raja,62,32,94,1st,Yes (6.5),5th,32 (5),1st,0 (7.5),2nd,2.938 (8),27,,30,2,2,2,2,2,0,0,8,Stature,Tigra,Stature,Tigra,First attempt,4,Fun combination of characters.,,
,,3,(+8),13,jiggliestpuff,47,52,99,1st,Yes (6.5),6th,36 (4),1st,0 (7.5),3rd,2.75 (7),25,,5,3,0,3,1,0,0,0,4,Captain Britain,"Joe Fixit, Grey Hulk",Captain Britain,"Joe Fixit, Grey Hulk",First attempt,5,"P1 used Captain Britain as an engine to build up attack/recruit due to all the hero teams, and the Hulkbuster cards ended up being very helpful here. P2 used Namor and Joe Fixit to try to delete the many high attack villains so we could hit Iron Man. Luckily I got Namor's Imperius Rex card very early which helped keep Iron Man vulnerable (never did get that free Master Mind KO, but I tried!), and Joe Fixit's cards benefited from high VP villains to generate a lot of attack. Plenty of transformations fired off in both decks. One more scheme twist and I would have been sunk, though.",,
,,4,(+7),11,bdst,59,15,74,1st,Yes (6.5),2nd,31 (7),1st,0 (7.5),6th,2.387 (4),25,,44,3,1,2,5,3,0,0,11,Stature,Hercules,Stature,Hercules,First attempt,4,"Pretty Rough, but LOTS of card draw",,
,,5,(+6),11,dyn0mike27,46,29,75,1st,Yes (6.5),2nd,31 (7),5th,1 (5),5th,2.419 (5),23.5,,17,2,1,2,4,3,0,0,10,Amadeus Cho,"Joe Fixit, Grey Hulk",Black Swan,"Dr. Punisher, Soldier Supreme",Second attempt,2,"Picked a couple powerhouses for Game 1 and got destroyed by the Scheme so I decided to go wild for Game 2 and try to get some Villain Deck knowledge with Black Swan and Dr. Punisher. Honestly did not expect to pull out a Win considering half the Twists came out in the first 11 turns. The chosen Heroes didn't quite work out as expected, but did some decent damage with lots of Ranged and Instinct triggers; and Bruce/Hulkbuster on the other side did all the heavy lifting. Also managed to get rid of a Grievous Wound by KOing a Hero of 1 cost or more from the discard pile, and then immediately gained it back with Rise From the Ashes. All in all a decent setup, but I think Tony Stark should go back to driving school. >.<",,
,,6,(+5),10,cglied,68,17,85,1st,Yes (6.5),2nd,31 (7),9th,6 (1),4th,2.742 (6),20.5,,51,2,0,3,4,2,0,0,9,Beast (Illuminati),Stature,Beast (Illuminati),Stature,First attempt,4,"Tale of 2 games. On the first attempt, I was in solid control from the jump and never let up. Couldn't get the sacrifice/ Phoenix Force Cyclops engine going like I was hoping, but other than that it went well. Game 2 was a complete disaster. Master Strikes and villain charges right off the bat made it difficult to control the city. I couldn't get enough recruit going to keep the Hulk deck thin. That was what did me in, but in the end it was only a matter of time.",,
,,7,(+4),9,CombatantMoth & QueenKate34,21,40,61,7th,No (2),8th,28 (2),6th,2 (4),7th,2.179 (3),11,,19,1,1,1,5,2,2,0,11,Amadeus Cho,Beast (Illuminati),Amadeus Cho,Beast (Illuminati),Second attempt,4,"It was fun, but we just had some bad luck. The first game I had some great cards early, but we also got two extra Scheme Twists from two Nighthawks getting pushed by two Whizzers right away before we could get our attack up. It was insane and unfortunate. The second we just were about a turn too late with the Scheme Twists. Not our best showing.",,
,,8,(+3),7,SharkNate-O & onthegeniusofsamrockwell,36,14,50,7th,No (2),7th,31 (3),7th,3 (2.5),8th,1.613 (2),9.5,,22,4,1,1,7,1,0,0,10,Beast (Illuminati),"Captain America, Secret Avenger",Beast (Illuminati),Magik,Second attempt,1,"We have had a lot of fun playing the setups in this and previous tournaments. We feel like this setup was just not fun for either of us. The hero picks were extremely awkward, and the konshu henchmen were just such a bad choice given everything else in the setup. Like I said, usually we have a blast with your games, and for the sake of transparency, this was was definitely our least fun and would not like to play this one again lol",,
,,9,(+2),6,CaptainMetroidica,16,21,37,7th,No (2),9th,27 (1),7th,3 (2.5),9th,1.37 (1),6.5,,5,1,4,2,4,3,1,0,14,"Captain and the Devil, The",Hercules,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,So. Many. Escapes. So. Much. Fortify.,,
,,10,(+1),6,THS_coconutgamer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
21,Radioactive Brraaaains!,1,(+10),13,hatephd & EditedMist99,28,66,94,1st,Yes (5.5),1st,24 (10),2nd,2 (8.5),1st,3.917 (10),34,,38,5,4,6,8,4,1,0,23,Blade,Iceman,Blade,Iceman,Second attempt,5,"We lucked out both games, and only had 1 rare KO'ed. Once Edited figured out he could just focus all his recruit into making larger hands in the first attempt, the second went much smoother. We only had 5 covert cards in the Hero deck, but each managed to recruit 1 so those pesky racers were much more manageable than I expected them to be. 

I don't feel like I wasted Iceman, so lets hope we place in the top 3 of POD 21!",,
,,2,(+9),13,Gideon Wyatt & Mrs. Gideon Wyatt,54,47,101,1st,Yes (5.5),3rd,32 (7.5),1st,1 (10),4th,3.156 (7),30,,7,10,0,8,8,1,0,0,17,Invisible Woman,Wolverine (X-Force),Invisible Woman,Wolverine (X-Force),Second attempt,4,"I thought it was a tough game. We definitely played better the second game. Stopped fighting over ""our"" hero and just bought good cards that fit our decks. Mr. Fantastic didn't spin up quite as fast and usual but still managed to work out. Ignoring most of Ghost Rider's card except for the free henchman defeat helped too. Managed to stop a couple ambush rises with Invisible Woman's rare. Fun game. You gotta play deadland with the Ghost Racers. Doesn't make sense any other way.",,
,,3,(+8),12,PragmaticSquid,26,78,104,1st,Yes (5.5),5th,33 (6),5th,4 (5.5),5th,3.152 (6),23,,52,9,0,7,3,3,0,0,13,Iceman,Invisible Woman,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Iceman and Captain Marvel are just slightly over-powered.  Generated 67 attack and 25 recruit to seal the game.,,
,,4,(+7),11,jwigand,59,56,115,1st,Yes (5.5),9th,36 (2),4th,3 (7),3rd,3.194 (8),22.5,,3,12,1,3,1,1,0,0,6,Scarlet Spider,Human Torch,Scarlet Spider,Human Torch,Second attempt,4,Wish I hadn't played two games in a row with sinister six as a villain group but besides that it was a fun game. Forgot how much I hated rise of the living dead.,,
,,5,(+6),10,Mikeygill97,77,25,102,1st,Yes (5.5),7th,35 (3.5),2nd,2 (8.5),6th,2.914 (5),22.5,,52,13,0,8,6,0,0,0,14,Angel,Jean Grey,Moon Knight,Invisible Woman,Second attempt,5,"This was a very fun setup despite the fact that two Rares were KO'd. Both games I played were very fun, but my gut instinct was that game 2 was the better of the two. Time will tell in the next couple of days when all the results are tallied up. 
",,
,,6,(+5),9,realdanl,55,74,129,1st,Yes (5.5),7th,35 (3.5),7th,5 (4),2nd,3.686 (9),22,,19,27,1,8,3,2,0,0,14,Jean Grey,Magik,Jean Grey,Magik,Second attempt,3,"Game 1 went horribly after a high-cost opening HQ slowed me down too much.  Game 2 started better, but 10 Rise Villains in the first 12 turns meant more escapes than I'd have liked.",,
,,7,(+4),8,Marvel0582 & Allison095,32,35,67,1st,Yes (5.5),2nd,30 (9),5th,4 (5.5),9th,2.233 (2),22,,3,6,2,5,9,6,0,0,22,Apocalyptic Kitty Pryde,Black Panther,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,We would be alright never seeing Rise of the Living Dead ever again....,,
,,8,(+3),7,Powerprime,31,49,80,1st,Yes (5.5),3rd,32 (7.5),8th,6 (2.5),8th,2.5 (3),18.5,,18,7,2,4,9,1,1,0,17,Invisible Woman,Jean Grey,Invisible Woman,Jean Grey,First attempt,5,"I thought Mr fantastic was going to hold me back but it’s what won me the game! I just drew my whole deck on player 2 side. Ghost rider was kind of lame thought he was going to do more but when you want to hold on to VP it was kind of a waste. I did use his draw card a lot. ice man would have been better to replace ghost rider with. Captain marvel was good. 

This was a great set up going to play it again when I get a chance. ",,
,,9,(+2),5,ItStartsWith1,46,49,95,1st,Yes (5.5),6th,34 (5),8th,6 (2.5),7th,2.794 (4),17,,3,12,0,3,6,1,0,0,10,Invisible Woman,Thing,Invisible Woman,Thing,First attempt,4,"That was a fun game! I decided to go Bystander rescue as a way to mitigate ROTLD with my hero choices, and it worked great! Left side was a “Good Stuff” deck that KOd down to 1 grey card, with some just huge turns, and even triggered Captain Marvel’s rare twice! (Lucky to grab her before Goblin could get to her). Right side was a pure Strength deck that smashed to victory. Thing’s Crime Stopper was awesome on this side. Shielding the city from zombies with innocent Bystanders is a great strategy, hahaha. A bit high on escapes and turns, but honestly happy to have won!",,
,,10,(+1),5,Rey Plays Games!,57,24,81,1st,Yes (5.5),10th,42 (1),10th,10 (1),10th,1.929 (1),8.5,,33,3,0,0,0,0,0,0,0,Apocalyptic Kitty Pryde,Bishop,Apocalyptic Kitty Pryde,Bishop,Second attempt,4,"This game was so fun but
I wish I didn't start it so late in the evening, as it was a long game! Rise of the Living Dead was the trickiest thing to navigate as it resulted in some heroes escaping by accelerating the villains in the city...had to try and defeat either Sinister Six or Subterranea villains to ensure they were on top of VP pile.
Was happy with one of my teams (included Mr Fantastic and Kitty Pryde) but thought the synergies with my Team 2 (Carol, some Ghost Rider and Bishop) really fizzled..maybe I played it wrong but Team 2 never was able to generate enough attack....Team one had a massive 34 Attack turn with 4 x Unstable Molecules and 2 x Gigantic Hands...the highlight of the game for me!!:)",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Cosmic Cleaning,1,(+10),13,Minos_Griffin,32,50,82,1st,Yes (5.5),2nd,23 (9),1st,0 (6.5),2nd,3.565 (9),30,,18,12,1,2,5,4,2,0,14,Wolverine (X-Force),Domino,Wolverine (X-Force),Domino,Second attempt,4,"Won both games, did better on the second attempt, the heroes I chose made the game to be really simple but still fun.",,
,,2,(+9),12,Ashyy23,33,23,56,1st,Yes (5.5),1st,17 (10),1st,0 (6.5),3rd,3.294 (8),30,,10,7,2,3,8,3,1,0,17,Invisible Woman,Mr. Fantastic,Invisible Woman,Mr. Fantastic,Second attempt,4,Good combos and draw power,,
,,3,(+8),11,iburnicus,26,60,86,1st,Yes (5.5),3rd,24 (7.5),1st,0 (6.5),1st,3.583 (10),29.5,,34,18,3,3,4,4,1,0,15,Gladiator Hulk,Wolverine (X-Force),Gladiator Hulk,Wolverine (X-Force),Second attempt,5,"had a decent 1st game but learned from previous round to play a 2nd game if i could,
2nd game ended on less turns + more total vp + more bystanders.
loved the setup! found some great/fun synergies between the chosen and given heroes. ",,
,,4,(+7),10,Pervavita & Catswifty,53,23,76,1st,Yes (5.5),3rd,24 (7.5),1st,0 (6.5),4th,3.167 (7),26.5,,30,16,0,1,6,5,0,0,12,Iron Fist,Jean Grey,Iron Fist,Jean Grey,First attempt,5,"Our first game did amazing without any problems. A few twist hit early before the decks were really up and going resulting in no damage done to one hand one two occasions! Iron Fist and Amadeus worked great together generating turns that could hit the MM 3 times a turn and final turn clearing the city and MM. Angel and Jean never really got fully going till the end but were able to manage the city. Daredevil was a big help to both helping thin and move decks along.
Game 2 was a disaster as nothing came up right early and the HQ just bogged down and the city was overrun ",,
,,5,(+6),9,royalroast,45,27,72,1st,Yes (5.5),5th,26 (6),1st,0 (6.5),6th,2.769 (5),23,,18,8,4,1,6,2,0,0,13,Caiera,Wolverine (X-Force),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Too similar to the first match I played with the Hidden Witnesses from Goblin's Freak Show again. Got both of my decks  pretty thinned out with Wolverine on one side and Caiera on the other.,,
,,6,(+5),8,freeclint,33,45,78,1st,Yes (5.5),7th,28 (4),1st,0 (6.5),5th,2.786 (6),22,,12,10,1,1,4,4,0,0,10,Domino,Forge,Domino,Forge,Second attempt,5,"Attempt 1:  Two really early scheme twists saved me.  No non-grey heroes to KO.  Angel deck took a long time to start working, but Cho, Forge, Domino deck was non-stop. 
Attempt 2:  Was really close on the scheme timer on this one.  Both hands did well (same plan as last time, just way less Cho in the HQ).  
Forge and Domino went great together but I never got the BFG.  Angel can hold his own in any deck.  Let's hope I don't see Dark city in the next two rounds though. ",,
,,7,(+4),7,Lasombra81,57,22,79,1st,Yes (5.5),8th,29 (3),1st,0 (6.5),7th,2.724 (4),19,,35,8,2,1,4,2,0,0,9,Wolverine (X-Force),Cable,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,None.,,
,,8,(+3),6,caseystahl1125,48,39,87,1st,Yes (5.5),9th,36 (2),1st,0 (6.5),10th,2.417 (1),15,,9,9,0,1,0,0,1,0,2,Cable,Domino,Cable,Domino,Second attempt,5,"I was smoked the first game as the cosmic rays ko ed all my heroes... the second time around , i controlled the coty better and had nice domino/angel combos",,
,,9,(+2),5,energythief,36,34,70,1st,Yes (5.5),6th,27 (5),9th,1 (1.5),8th,2.593 (3),15,,2,8,0,3,5,2,1,0,11,Cable,Wolverine (X-Force),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"I've never played with Hidden Witnesses before, that was cool!",,
,,10,(+1),4,M00M00KITTY & marnsupial,42,49,91,1st,Yes (5.5),10th,37 (1),9th,1 (1.5),9th,2.459 (2),10,,7,11,1,1,1,0,0,0,3,Domino,Punisher,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Forgot how strong Angel can be when used correctly! Thought Stryfe was going to be ez pz but didn't realize he would get stronger over time! Winning with only a couple cards left in the Villain Deck is always very exciting too.,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Burdened with a Glorious Paperweight,1,(+10),12,OleRockyTop,40,44,84,1st,Yes (5.5),1st,27 (9.5),1st,0 (7.5),2nd,3.111 (9),31.5,,4,5,1,3,4,6,2,0,16,Cyclops,Hawkeye,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Toward the end, the wounds really started piling up. Got lucky getting the Cyclops rare fairly early on. Overall, fairly easy setup.",,
,,2,(+9),11,scootsmagoots1986,29,48,77,1st,Yes (5.5),1st,27 (9.5),1st,0 (7.5),3rd,2.852 (8),30.5,,19,13,2,2,4,5,1,0,14,Captain America,Hulk,Captain America,Hulk,First attempt,4,It was fun to play just the core box for a night. Im looking forward to getting into some expansions next week hopefully!,,
,,3,(+8),10,jpilger,54,46,100,1st,Yes (5.5),5th,31 (6),1st,0 (7.5),1st,3.226 (10),29,,8,15,2,2,5,2,0,0,11,Captain America,Hulk,Black Widow (Avengers),Deadpool (Unaffiliated),Second attempt,4,First game I assumed Cap would be more helpful and I was worried about tough recruit options.  Black Widow was a huge help building a one hand tech deck (to maximize points for Ultron) and another deck focused on bystander rescue.,,
,,4,(+7),9,aitmanga,47,51,98,1st,Yes (5.5),10th,35 (1),1st,0 (7.5),4th,2.8 (7),21,,4,8,0,2,2,2,0,0,6,Captain America,Hulk,Captain America,Hulk,First attempt,3,Took to long to get enough attack to get the Mastermind. On our second attempt the shuffle was not on our side.,,
,,5,(+6),8,david_h11,27,36,63,1st,Yes (5.5),3rd,28 (8),7th,1 (3.5),7th,2.25 (4),21,,9,5,0,1,7,4,1,3,16,Captain America,Hawkeye,Captain America,Hawkeye,Second attempt,3,Most fun I've had in a long time with just the core set. Wish I had more tech heroes for Ultron than on the second attempt though,,
,,6,(+5),7,silverthorn3436,31,21,52,1st,Yes (5.5),4th,30 (7),1st,0 (7.5),10th,1.733 (1),21,,10,5,2,1,8,2,0,0,13,Captain America,Hulk,Captain America,Hulk,Second attempt,5,"Game one was terrible, hit the final Scheme Twist on turn 11. Game two was a slog, mostly poor luck with drawing enough attack to hit Loki early on. Just managed to pull off a win two turns before the final Scheme Twist would have dropped",,
,,7,(+4),6,Doormatte,44,25,69,1st,Yes (5.5),8th,33 (2.5),1st,0 (7.5),9th,2.091 (2),17.5,,19,2,1,1,3,2,1,0,8,Wolverine (X-Men),Captain America,Wolverine (X-Men),Hulk,Second attempt,4,This was a fun setup filled with nostalgia. Wolverine really carried in both attempts. Hulk was a better choice than Captain America.,,
,,8,(+3),5,CoreyG,28,46,74,1st,Yes (5.5),6th,32 (4.5),9th,2 (2),6th,2.313 (5),17,,18,11,2,1,4,2,0,0,9,Black Widow (Avengers),Captain America,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Interesting to get back to basics and play an only Core game. This MM and Scheme combo could really ramp up the wounds!,,
,,9,(+2),4,Alec2ElectricBoogaloo,22,48,70,1st,Yes (5.5),6th,32 (4.5),7th,1 (3.5),8th,2.188 (3),16.5,,26,3,2,1,5,1,0,0,9,Storm,Nick Fury,Storm,Nick Fury,First attempt,3,"It was a core set game, only so much fun you can have. Game 1 went well but could have been better, terrible villain deck luck in the 2nd",,
,,10,(+1),3,DRobb & ShadowoftheBat,45,34,79,1st,Yes (5.5),8th,33 (2.5),10th,3 (1),5th,2.394 (6),15,,11,20,2,1,2,0,0,0,5,Black Widow (Avengers),Rogue,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Rushed,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Doom Doom Doom Doom, a Killbot in My Room",1,(+11),12,Chuck Bauer,28,39,67,1st,Yes (5),1st,23 (9),1st,0 (8.5),1st,2.913 (9),31.5,,11,15,4,5,9,5,7,0,30,Cyclops,Gambit,Cyclops,Gambit,Second attempt,4,"Elected not to bring any tech heroes, as Doom's master strike effectively makes his Doombots less likely to kill something useful. Instead brought Cyclops to add Strength for both Radiation Fight effects and Rogue's trigger, and then Gambit, since everybody was X-Men!!, so his card draw was pretty much guaranteed for either side.",,
,,2,(+10),11,KeeblerPowell,33,40,73,1st,Yes (5),2nd,26 (7),1st,0 (8.5),2nd,2.808 (8),28.5,,7,11,0,3,6,6,5,0,20,Wolverine (X-Men),Captain America,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"This was a much better game. I really had a great time. I don't think I messed that bad in many places. Putting me in a base only game was a perfect idea. I needed to learn the basics and then add in stuff from there. I look forward to to the next week. This was sooooo much fun!! Thanks for running this!! 
",,
,,3,(+9),11,Montax30,21,39,60,1st,Yes (5),2nd,26 (7),4th,2 (5.5),3rd,2.308 (7),24.5,,18,3,4,1,6,6,10,0,27,Cyclops,Gambit,Cyclops,Gambit,Second attempt,4,All X-Men was the only way to go with the given heroes. I kept hoping for Cyclops' rare but never showed up.,,
,,4,(+8),9,GreyWadejokis,23,36,59,1st,Yes (5),2nd,26 (7),6th,3 (4),4th,2.269 (6),22,,13,14,3,2,14,2,7,0,28,Captain America,Black Widow (Avengers),Captain America,Black Widow (Avengers),First attempt,5,N/A,,
,,5,(+7),8,brentmcampbell & ruuhaku,23,45,68,1st,Yes (5),7th,31 (3),3rd,1 (7),5th,2.194 (5),20,,22,19,1,0,4,5,11,0,21,Gambit,Cyclops,Black Widow (Avengers),Nick Fury,Second attempt,2,"Black Widow was the obvious choice and she did pull through in the end. I struggled to choose between Nick Fury and Iron Man to pair her with and ended up glad I chose Nick. Battlefield Promotion was a blessing! We tried to end things as quick as possible, but the Killbots got too much attack too quickly and had to be dealt with.",,
,,6,(+6),7,Cubbiesnextyr & Wife,27,33,60,1st,Yes (5),6th,29 (4),4th,2 (5.5),7th,2.069 (3),17.5,,6,10,3,2,6,4,8,0,23,Iron Man,Black Widow (Avengers),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Since the setup had 3 women, we went with Black Widow as a fourth but since it was just the core, we couldn't go all women.  So we opted to go with the playboy Iron Man.  The women carried the day, Tony didn't do much.  Good fun.",,
,,7,(+5),6,Jmaster1324,44,31,75,1st,Yes (5),8th,35 (2),7th,5 (2.5),6th,2.143 (4),13.5,,13,18,3,2,4,4,4,0,17,Black Widow (Avengers),Hulk,Black Widow (Avengers),Wolverine (X-Men),First attempt,4,o,,
,,8,(+4),5,Joebro6616,17,33,50,1st,Yes (5),5th,27 (5),9th,6 (1),8th,1.852 (2),13,,16,4,2,5,8,4,9,2,30,Cyclops,Gambit,Hawkeye,Iron Man,First attempt,3,"Not my favorite, I might set it up again",,
